,id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,clean_ingredients,ingredient_count,timeMins
18,Brown-sugar-meatloaf-368833,brown sugar meatloaf,5.0,1800.0,[Main Dishes],[American],"[brown sugar, ketchup, meatloaf, eggs, milk, onions, bread crumbs]","['brown sugar', 'ketchup', 'meatloaf', 'egg', 'milk', 'onion', 'bread crumb']",7,30.0
19,Maryland-Crab-Cakes-with-Quick-Tartar-Sauce-Once-Upon-A-Chef-199990,maryland crab cakes,5.0,5100.0,"[Appetizers, Main Dishes]",[American],"[large eggs, mayonnaise, dijon mustard, worcestershire sauce, old bay seasoning, salt, celery, fresh parsley, lump crab meat, panko, canola oil, pickle relish, purple onion, lemon juice, black pepper]","['egg', 'mayonnaise', 'dijon mustard', 'worcestershire sauce', 'old bay seasoning', 'salt', 'celery', 'parsley', 'lump crab meat', 'panko', 'canola oil', 'pickle relish', 'purple onion', 'lemon juice', 'black pepper']",15,85.0
20,Bacon-and-Brussel-Sprout-Salad-499392,bacon and brussel sprout salad,4.0,1500.0,[Salads],[American],"[lemon, orange, shallots, olive oil, salt, cooked bacon, brussels sprouts, almonds, pecorino romano cheese]","['lemon', 'orange', 'shallot', 'olive oil', 'salt', 'bacon', 'brussel sprout', 'almond', 'pecorino romano cheese']",9,25.0
21,Skinny-buttermilk-mashed-potatoes-with-chives-352425,skinny buttermilk mashed potatoes with chives,5.0,,[Side Dishes],[American],"[yukon gold potatoes, low-fat buttermilk, butter, kosher salt, ground pepper, fresh chives]","['yukon gold potato', 'low fat buttermilk', 'butter', 'kosher salt', 'pepper', 'chive']",6,
22,Hot-roast-beef-sandwiches-345284,hot roast beef sandwiches,5.0,1800.0,[Lunch and Snacks],[American],"[dinner rolls, roast beef, cheese, mayonnaise, onions, poppy seeds, mustard, horseradish mayonnaise, worcestershire sauce, dressing]","['dinner roll', 'roast beef', 'cheese', 'mayonnaise', 'onion', '', 'mustard', 'horseradish mayonnaise', 'worcestershire sauce', 'dressing']",10,30.0
23,Cranberry-brie-grilled-cheese-309053,cranberry brie grilled cheese,5.0,1200.0,"[Appetizers, Lunch and Snacks]",[American],"[sourdough bread, unsalted butter, cranberry sauce, whole grain mustard, brie cheese]","['sourdough bread', 'butter', 'cranberry sauce', 'grain mustard', 'brie cheese']",5,20.0
24,Roasted-red-pepper-_-bacon-goat-cheese-truffles-333302,roasted red pepper + bacon goat cheese truffles,5.0,2700.0,[Appetizers],[American],"[goat cheese, roasted red peppers, thick-cut bacon, garlic salt, freshly ground pepper, pistachios]","['goat cheese', 'pepper', 'thick cut bacon', 'garlic salt', 'pepper', 'pistachio']",6,45.0
25,Roasted-corn-with-cilantro-butter-351940,roasted corn with cilantro butter,5.0,2700.0,[Side Dishes],[American],"[corn husks, butter, fresh cilantro, chipotle peppers, cumin, salt]","['corn husk', 'butter', 'cilantro', 'chipotle pepper', 'cumin', 'salt']",6,45.0
26,Huevos-rancheros-370964,huevos rancheros,5.0,2400.0,"[Breakfast and Brunch, Lunch and Snacks]","[American, Mexican, Southwestern]","[olive oil, minced onion, garlic, jalapeno chilies, ground cumin, kosher salt, black pepper, tomatoes, tortillas, refried beans, eggs, feta cheese, chopped cilantro]","['olive oil', 'onion', 'garlic', 'jalapeno chily', 'cumin', 'kosher salt', 'black pepper', 'tomato', 'tortilla', 'bean', 'egg', 'fetum cheese', 'cilantro']",13,40.0
27,Thanksgiving-breakfast-hash-with-cheddar-mashed-potato-pancakes-333614,thanksgiving breakfast hash with cheddar mashed potato pancakes,5.0,1200.0,[Breakfast and Brunch],[American],"[olive oil, butter, stuffing, cheddar cheese, eggs, fresh parsley, any]","['olive oil', 'butter', 'stuffing', 'dar cheese', 'egg', 'parsley', '']",7,20.0
28,Homemade-ketchup-352104,homemade ketchup,5.0,,[Condiments and Sauces],[American],"[tomato paste, honey, white vinegar, water, sugar, salt, onion powder, garlic powder]","['tomato paste', 'honey', 'white vinegar', 'water', 'sugar', 'salt', 'onion powder', 'garlic powder']",8,
29,Homemade-Tartar-Sauce-513062,homemade tartar sauce,4.0,1200.0,[Condiments and Sauces],[American],"[mayonnaise, pickles, onions, lemon juice, salt]","['mayonnaise', 'pickle', 'onion', 'lemon juice', 'salt']",5,20.0
30,Individual-Chocolate-Lava-Cakes-476713,individual chocolate lava cakes,5.0,10500.0,"[Afternoon Tea, Desserts]",[American],"[ghirardelli® 60% cacao bittersweet chocolate, eggs, heavy cream, unsalted butter, egg yolks, sugar, vanilla extract, cake flour]","['ghirardelli cacao bittersweet chocolate', 'egg', 'heavy cream', 'butter', 'egg yolk', 'sugar', 'vanilla extract', 'cake flmy']",8,175.0
31,Bourbon-glazed-salmon-333622,bourbon glazed salmon,5.0,2700.0,[Main Dishes],[American],"[fresh salmon, sea salt, black pepper, bourbon whiskey, brown sugar, garlic cloves, apple cider vinegar, worcestershire sauce, honey, ground mustard]","['salmon', 'sea salt', 'black pepper', 'bourbon whiskey', 'brown sugar', 'garlic clove', 'apple cider vinegar', 'worcestershire sauce', 'honey', 'mustard']",10,45.0
32,Chocolate-Mousse-457483,chocolate mousse,5.0,,[Desserts],"[American, French]","[bittersweet chocolate, unsalted butter, eggs, salt, confectioners sugar]","['bittersweet chocolate', 'butter', 'egg', 'salt', 'confectioner sugar']",5,
33,Grilled-corn-with-bacon-butter-and-cotija-cheese-333613,grilled corn with bacon butter and cotija cheese,5.0,2400.0,[Side Dishes],[American],"[ear of corn, olive oil, butter, bacon, cotija, fresh cilantro, black pepper]","['ear corn', 'olive oil', 'butter', 'bacon', 'cotija', 'cilantro', 'black pepper']",7,40.0
34,Garlic-Butter-Sauteed-Corn-533567,garlic butter sautéed corn,4.0,600.0,[Side Dishes],[American],"[butter, corn kernels, garlic, fresh parsley, feta cheese, salt, black pepper]","['butter', 'corn kernel', 'garlic', 'parsley', 'fetum cheese', 'salt', 'black pepper']",7,10.0
35,Southern-sausage-gravy-308032,southern sausage gravy,5.0,1200.0,[Breakfast and Brunch],"[Southern & Soul Food, American]","[pork sausages, all-purpose flour, milk, black pepper, kosher salt, biscuits]","['pork sausage', 'all purpose flmy', 'milk', 'black pepper', 'kosher salt', 'biscuit']",6,20.0
36,Honeycrisp-Apple-Cider-Pie-1363303,honeycrisp apple cider pie,4.0,6300.0,[Desserts],[American],"[pie crust, apple cider, sugar, corn starch, fresh lemon juice, vanilla extract, pumpkin pie spice, honeycrisp apples, large eggs, heavy cream]","['pie crust', 'apple cider', 'sugar', 'corn starch', 'lemon juice', 'vanilla extract', 'pumpkin pie spice', 'honeycrisp apple', 'egg', 'heavy cream']",10,105.0
37,Nawlins-Low-Country-Boil-514773,nawlins low country boil,4.0,,[Main Dishes],[American],"[johnsonville andouille, klondike gourmet mini potatoes, water, shrimp and crab boil seasoning, old bay seasoning, lemon, sweet corn, jumbo shrimp]","['johnsonville andouille', 'klondike gourmet mini potato', 'water', 'shrimp crab boil seasoning', 'old bay seasoning', 'lemon', 'sweet corn', 'jumbo shrimp']",8,
38,Cauliflower-gratin-with-sharp-cheddar-and-parmesan-309610,cauliflower gratin with sharp cheddar and parmesan,5.0,3600.0,[Side Dishes],[American],"[cauliflower, low-fat sharp cheddar cheese, mayonnaise, light sour cream, lemon juice, dijon mustard, ground black pepper, grated parmesan cheese]","['cauliflower', 'dar cheese', 'mayonnaise', 'light smy cream', 'lemon juice', 'dijon mustard', 'black pepper', 'parmesan cheese']",8,60.0
39,Grilled-chicken-caesar-salad-303849,grilled chicken caesar salad,4.0,900.0,"[Main Dishes, Salads]",[American],"[boneless skinless chicken breast halves, romaine lettuce, wish-bone creamy caesar dressing, croutons]","['chicken breast half', 'romaine lettuce', 'wish bone creamy caesar dressing', 'crouton']",4,15.0
40,Roasted-garlic-mashed-potatoes-315012,roasted garlic mashed potatoes,5.0,4800.0,[Side Dishes],[American],"[garlic, olive oil, russet potatoes, butter, milk, kosher salt, fresh chives]","['garlic', 'olive oil', 'russet potato', 'butter', 'milk', 'kosher salt', 'chive']",7,80.0
41,Water-toast-314487,water toast,5.0,,,[American],"[toast, salt, boiling water, butter]","['toast', 'salt', 'boiling water', 'butter']",4,
42,Green-bean-salad-with-walnuts_-parmesan-and-mint-302417,"green bean salad with walnuts, parmesan and mint",5.0,1200.0,[Salads],[American],"[green beans, chopped walnuts, extra-virgin olive oil, balsamic vinegar, chopped fresh mint, parmesan cheese, white pepper, salt]","['bean', 'walnut', 'extra virgin olive oil', 'balsamic vinegar', 'mint', 'parmesan cheese', 'white pepper', 'salt']",8,20.0
43,Mint-Ice-512345,mint ice,5.0,3600.0,,[American],"[fresh mint, simple syrup]","['mint', 'simple syrup']",2,60.0
44,Garlic-Parmesan-Mashed-Potatoes-457934,garlic-parmesan mashed potatoes,5.0,,[Side Dishes],[American],"[russet potatoes, kosher salt, unsalted butter, seasoning, half & half, freshly ground pepper]","['russet potato', 'kosher salt', 'butter', 'seasoning', 'half half', 'pepper']",6,
45,Onion-Marmalade-_or-Balsamic-Caramelized-Onions_-Closet-Cooking-54976,onion marmalade,5.0,5100.0,"[Condiments and Sauces, Side Dishes]",[American],"[olive oil, onions, water, balsamic vinegar, brown sugar, thyme, pepper, salt]","['olive oil', 'onion', 'water', 'balsamic vinegar', 'brown sugar', 'thyme', 'pepper', 'salt']",8,85.0
46,Chicken-Fried-Steak-with-White-Gravy-1356028,chicken fried steak with white gravy,4.0,1800.0,[Main Dishes],[Southern & Soul Food],"[cube steaks, all-purpose flour, baking powder, baking soda, black pepper, salt, buttermilk, eggs, hot sauce, garlic powder, vegetable shortening, milk, pepper]","['cube steak', 'all purpose flmy', 'baking powder', 'baking soda', 'black pepper', 'salt', 'buttermilk', 'egg', 'hot sauce', 'garlic powder', 'vegetable shortening', 'milk', 'pepper']",13,30.0
47,Sweet-potato-homefries-333826,sweet potato homefries,5.0,1800.0,[Side Dishes],[American],"[sweet potatoes, sweet onion, salt, pepper, smoked paprika, olive oil]","['sweet potato', 'sweet onion', 'salt', 'pepper', 'paprika', 'olive oil']",6,30.0
48,Homemade-lemonade-357511,homemade lemonade,5.0,,[Beverages],[American],"[sugar, water, lemon, ice]","['sugar', 'water', 'lemon', 'ice']",4,
49,Skinny-scalloped-potato-gratin-352578,skinny scalloped potato gratin,5.0,,[Side Dishes],"[American, French]","[olive oil spray, yukon gold potatoes, butter, salt, pepper, garlic powder, cheddar cheese, fat free milk, bay leaf, grated nutmeg, thyme]","['olive oil spray', 'yukon gold potato', 'butter', 'salt', 'pepper', 'garlic powder', 'dar cheese', 'fat free milk', 'bay leaf', 'nutmeg', 'thyme']",11,
50,Roasted-asparagus-302985,roasted asparagus,4.0,1500.0,"[Lunch and Snacks, Side Dishes]",[American],"[asparagus, garlic, wish-bone light balsamic basil vinaigrette dressing]","['asparagu', 'garlic', 'wish bone light balsamic basil vinaigrette dressing']",3,25.0
51,Bbq-chicken-pizza-soup-334993,bbq chicken pizza soup,5.0,,[Soups],"[American, Kid-Friendly]","[extra-virgin olive oil, onions, minced garlic, corn, chicken, chicken broth, bbq sauce, kosher salt, cracked black pepper, garlic salt, cilantro leaves]","['extra virgin olive oil', 'onion', 'garlic', 'corn', 'chicken', 'chicken broth', 'bbq sauce', 'kosher salt', 'black pepper', 'garlic salt', 'cilantro leaf']",11,
52,Chipotle-Honey-Vinaigrette-532135,chipotle honey vinaigrette,4.0,600.0,[Salads],[American],"[red wine vinegar, honey, vegetable oil, dried oregano, salt, ground black pepper, chipotles in adobo, garlic cloves]","['wine vinegar', 'honey', 'vegetable oil', 'oregano', 'salt', 'black pepper', 'chipotle adobo', 'garlic clove']",8,10.0
53,Turkey-stuffed-peppers-352582,turkey stuffed peppers,5.0,3300.0,[Main Dishes],[American],"[meat, garlic, onions, chopped cilantro fresh, garlic powder, cumin, salt, red bell pepper, fat-free chicken broth, tomato sauce, cooked rice, olive oil spray, reduced fat shredded cheese]","['meat', 'garlic', 'onion', 'cilantro', 'garlic powder', 'cumin', 'salt', 'bell pepper', 'fat free chicken broth', 'tomato sauce', 'rice', 'olive oil spray', 'cheese']",13,55.0
54,BLT-Wraps-472387,blt wraps,5.0,,[Lunch and Snacks],[American],"[mayonnaise, oil, flour tortillas, iceberg lettuce, bacon, sun-dried tomatoes]","['mayonnaise', 'oil', 'flmy tortilla', 'iceberg lettuce', 'bacon', 'tomato']",6,
55,Turnip-Greens-Stew-1375805,turnip greens stew,3.0,3600.0,,[American],"[chopped cooked ham, vegetable oil, chicken broth, turnip greens, seasoning, sugar, pepper]","['ham', 'vegetable oil', 'chicken broth', 'turnip', 'seasoning', 'sugar', 'pepper']",7,60.0
56,Bacon-Cheese-Fries-TasteOfHome,bacon cheese fries,5.0,1200.0,"[Appetizers, Lunch and Snacks]",[American],"[french fries, shredded cheddar cheese, green onions, bacon, ranch dressing]","['french fry', 'dar cheese', 'onion', 'bacon', 'ranch dressing']",5,20.0
57,Chocolate-sorbet-351956,chocolate sorbet,5.0,,[Desserts],[American],"[water, sugar, salt, unsweetened cocoa powder, pure vanilla extract, brewed espresso]","['water', 'sugar', 'salt', 'cocoa powder', 'pure vanilla extract', 'espresso']",6,
58,Southern-Style-Meatloaf-1318448,southern style meatloaf,3.0,5220.0,[Main Dishes],[American],"[ground beef, saltines, finely chopped onion, chopped green bell pepper, large eggs, paprika, garlic salt, dri leav thyme, ground black pepper, ketchup, milk, worcestershire sauce]","['beef', 'saltine', 'onion', 'bell pepper', 'egg', 'paprika', 'garlic salt', 'drus leav thyme', 'black pepper', 'ketchup', 'milk', 'worcestershire sauce']",12,87.0
59,Banana-Fritters-Martha-Stewart-196378,banana fritters,3.0,2400.0,"[Breakfast and Brunch, Lunch and Snacks]","[American, Asian]","[bananas, eggs, all-purpose flour, vegetable oil]","['banana', 'egg', 'all purpose flmy', 'vegetable oil']",4,40.0
60,Marinated-Roasted-Red-Pepper-Grilled-Cheese-Sandwich-Closet-Cooking-54954,marinated roasted red pepper grilled cheese sandwich,5.0,1500.0,[Lunch and Snacks],[American],"[multigrain bread, olive oil, roasted red peppers, fresh mozzarella, basil]","['multigrain bread', 'olive oil', 'pepper', 'mozzarella', 'basil']",5,25.0
61,Classic-pb_j-sandwich-297015,classic pb&j sandwich,4.0,300.0,[Lunch and Snacks],[American],"[skippy creamy peanut butter, bread, jelli strawberri]","['skippy creamy peanut butter', 'bread', 'jelli strawberrus']",3,5.0
62,Cream-of-asparagus-soup-352170,cream of asparagus soup,5.0,,"[Lunch and Snacks, Soups]","[American, French]","[asparagus, butter, onions, fat-free chicken broth, low-fat sour cream, salt, pepper]","['asparagu', 'butter', 'onion', 'fat free chicken broth', 'low fat smy cream', 'salt', 'pepper']",7,
63,Sharp-cheddar-cheese-crackers-309057,sharp cheddar cheese crackers,5.0,6300.0,"[Appetizers, Lunch and Snacks]",[American],"[unsalted butter, sharp cheddar cheese, salt, cracked black pepper, all-purpose flour, cold water, garlic powder, chili powder, ancho powder, smoked paprika]","['butter', 'dar cheese', 'salt', 'black pepper', 'all purpose flmy', 'cold water', 'garlic powder', 'chili powder', 'ancho powder', 'paprika']",10,105.0
64,Prime-Rib-The-Pioneer-Woman-200099,prime rib,5.0,,[Main Dishes],[American],"[rib-eye roast, olive oil, kosher salt, peppercorns, rosemary, thyme, minced garlic]","['rib eye roast', 'olive oil', 'kosher salt', 'peppercorn', 'rosemary', 'thyme', 'garlic']",7,
65,So-easy-slow-cooker-macaroni-_-cheese-298097,so easy slow cooker macaroni & cheese,4.0,11400.0,"[Lunch and Snacks, Main Dishes]",[American],"[fat free milk, american cheese slices, elbow macaroni, cook and drain, i can't believe it's not butter!® spread, grated parmesan cheese]","['fat free milk', 'american cheese slice', 'elbow macaroni', '', 'can t believe it s butter spread', 'parmesan cheese']",6,190.0
66,Classic-spinach-salad-299163,classic spinach salad,4.0,1200.0,[Salads],[American],"[frozen chopped spinach, thawed and squeezed dry, wish bone balsam vinaigrett dress, sliced mushrooms, tomatoes, croutons, purple onion, bacon, crisp-cooked and crumbled, eggs]","['spinach', 'dry', 'wish bone balsam vinaigrett dres', 'mushroom', 'tomato', 'crouton', 'purple onion', 'bacon', '', 'egg']",10,20.0
67,Asparagus-Gratin-Closet-Cooking-54944,asparagus gratin,5.0,1800.0,[Side Dishes],[American],"[water, asparagus, butter, flour, gruyere cheese, pepper, salt]","['water', 'asparagu', 'butter', 'flmy', 'gruyere cheese', 'pepper', 'salt']",7,30.0
68,Pecan-Sandies-482532,pecan sandies,4.0,1800.0,[Desserts],[American],"[unsalted butter, light brown sugar, vanilla extract, salt, all-purpose flour, pecans]","['butter', 'light brown sugar', 'vanilla extract', 'salt', 'all purpose flmy', 'pecan']",6,30.0
69,Elvis-Presley_s-Favorite-Pound-Cake-Epicurious,elvis presley's favorite pound cake,5.0,12600.0,[Desserts],[American],"[unsalted butter, cake flour, salt, sugar, large eggs, vanilla, heavy cream]","['butter', 'cake flmy', 'salt', 'sugar', 'egg', 'vanilla', 'heavy cream']",7,210.0
70,Glazed-Baby-Carrots-600962,glazed baby carrots,4.0,1800.0,[Side Dishes],[American],"[light brown sugar, butter, hidden valley® original ranch salad® dressing & seasoning mix, baby carrots]","['light brown sugar', 'butter', 'hidden valley original ranch salad dressing seasoning mix', 'baby carrot']",4,30.0
71,Southern-Fried-Okra-1282806,southern fried okra,4.0,2700.0,[],"[Southern & Soul Food, American]","[okra, buttermilk, self-rising cornmeal, oil]","['okra', 'buttermilk', 'self rising cornmeal', 'oil']",4,45.0
72,Turkey-turnovers-299324,turkey turnovers,4.0,1620.0,"[Lunch and Snacks, Main Dishes]",[American],"[turkey, shredded cheddar cheese, broccoli, hellmann' or best food real mayonnais, salt, ground black pepper, refrigerated crescent rolls]","['turkey', 'dar cheese', 'broccoli', 'hellmann best food real mayonnai', 'salt', 'black pepper', 'crescent roll']",7,27.0
73,Slow-Cooker-Barbecued-Ribs-513249,slow cooker barbecued ribs,5.0,24300.0,"[Condiments and Sauces, Main Dishes]",[American],"[sweet paprika, brown sugar, cayenne pepper, salt, ground black pepper, pork baby back ribs, barbecue sauce, vegetable oil spray]","['sweet paprika', 'brown sugar', 'cayenne pepper', 'salt', 'black pepper', 'pork baby rib', 'barbecue sauce', 'vegetable oil spray']",8,405.0
74,Avocado-egg-salad-352486,avocado egg salad,5.0,,[Salads],[American],"[hard-boiled egg, egg whites, hass avocado, light mayonnaise, plain yogurt, chives, red wine vinegar, kosher salt, freshly ground pepper]","['egg', 'egg white', 'has avocado', 'light mayonnaise', 'plain yogurt', 'chive', 'wine vinegar', 'kosher salt', 'pepper']",9,
75,Marinated-Heirloom-Tomato-Salad-The-Shiksa-Blog-46775,marinated heirloom tomato salad,5.0,3000.0,[Salads],[American],"[heirloom tomatoes, fresh basil, fresh lemon, extra-virgin olive oil, sugar, salt, black pepper, tabasco pepper sauce]","['heirloom tomato', 'basil', 'lemon', 'extra virgin olive oil', 'sugar', 'salt', 'black pepper', 'tabasco pepper sauce']",8,50.0
76,Whipped-Frosting-Martha-Stewart,whipped frosting,4.0,1500.0,[Desserts],[American],"[large egg whites, sugar, salt, water, pure vanilla extract]","['egg white', 'sugar', 'salt', 'water', 'pure vanilla extract']",5,25.0
77,Snickerdoodles-298592,snickerdoodles,4.0,1920.0,[Desserts],[American],"[granulated sugar, eggs, vanilla extract, all-purpose flour, i can't believe it's not butter!® all purpose sticks, ground cinnamon, sugar]","['sugar', 'egg', 'vanilla extract', 'all purpose flmy', 'can t believe it s butter purpose stick', 'cinnamon', 'sugar']",7,32.0
78,Chopped-Apple-Quinoa-Salad-499607,chopped apple quinoa salad,4.0,1800.0,[Salads],[American],"[apples, carrots, cooked quinoa, chopped almonds, fresh parsley, chutney, mixed greens, salt]","['apple', 'carrot', 'quinoa', 'almond', 'parsley', 'chutney', '', 'salt']",8,30.0
79,Lemon-Meringue-Angel-Cake-539878,lemon meringue angel cake,4.0,9000.0,[Desserts],[American],"[sugar, cake flour, egg whites, cream of tartar, vanilla extract, salt, lemon curd]","['sugar', 'cake flmy', 'egg white', 'cream tartar', 'vanilla extract', 'salt', 'lemon curd']",7,150.0
80,Zesty-Chicken-And-Potatoes-Allrecipes,zesty chicken and potatoes,4.0,4500.0,[Main Dishes],[American],"[fat-free italian salad dressing, lime juice, lemon juice, rosemary, potatoes, garlic, chicken thighs]","['fat free italian salad dressing', 'lime juice', 'lemon juice', 'rosemary', 'potato', 'garlic', 'chicken thigh']",7,75.0
81,Lemon-beignets-371561,lemon beignets,5.0,7200.0,[Desserts],[American],"[water, butter, salt, sugar, all-purpose flour, large eggs, lemon, vegetable oil, powdered sugar, strawberries, balsamic vinegar, vanilla extract]","['water', 'butter', 'salt', 'sugar', 'all purpose flmy', 'egg', 'lemon', 'vegetable oil', 'sugar', 'strawberry', 'balsamic vinegar', 'vanilla extract']",12,120.0
82,Oven-fried-chicken-352485,oven fried chicken,5.0,3000.0,"[Lunch and Snacks, Main Dishes]",[American],"[bone in, bran flakes, kosher salt, garlic powder, paprika, black pepper, cayenne pepper, light mayonnaise, dijon mustard, oil]","['bone', 'bran flake', 'kosher salt', 'garlic powder', 'paprika', 'black pepper', 'cayenne pepper', 'light mayonnaise', 'dijon mustard', 'oil']",10,50.0
83,Cherry-sorbet-352355,cherry sorbet,5.0,,[Desserts],[American],"[cherries, water, sugar, fresh lemon juice]","['cherry', 'water', 'sugar', 'lemon juice']",4,
84,Homemade-glazed-doughnuts-302411,homemade glazed doughnuts,5.0,1620.0,"[Breakfast and Brunch, Breads]",[American],"[whole milk, sugar, active dry yeast, large eggs, unsalted butter, all-purpose flour, salt, shortening, powdered sugar, vanilla, cold water]","['milk', 'sugar', 'active dry yeast', 'egg', 'butter', 'all purpose flmy', 'salt', 'shortening', 'sugar', 'vanilla', 'cold water']",11,27.0
